element_id	longitude_deg	latitude_deg	depth_m	strike_deg	dip_deg	strike_slip_m	dip_slip_m	area_m2	shear_modulus_pa
1045	96.0968228069665	20.4360808841675	-9127.43365392599	174.937012543452	100.117140778935	-3.97927865650669	-0.065518337332763	6418288.64269971	24805668270.8632
1046	96.0997700145426	20.4208241278186	-9952.96273679218	174.995488479469	99.6050411413848	-3.71190641063083	-0.0780287848009021	6402646.75250188	25527372293.5691
1047	96.0925672901701	20.4818496341792	-9127.43365392599	175.049188864389	100.69998292796	-3.97158610574434	-0.00471637967551246	6430720.81990523	24805668270.8632
1048	96.0955678873577	20.4665930148801	-9952.96273679218	175.110606673661	100.156012380299	-3.84635343605024	-0.0235556639838202	6414317.25880702	25527372293.5691
1049	96.0884103582986	20.5276180184692	-9127.43365392599	175.160424215857	101.289563195587	-3.99207402322944	0.0393912545590364	6443702.19152032	24805668270.8632
1050	96.0914644993739	20.5123615374935	-9952.96273679218	175.222407786881	100.728143177127	-3.75155447665147	0.0244504459599427	6426862.28355599	25527372293.5691
1051	96.0843527637115	20.5733860428422	-9127.43365392599	175.271710075247	101.874364379538	-4.04477420388517	0.0656314225502978	6456900.70996859	24805668270.8632
1052	96.0874586419902	20.5581297017934	-9952.96273679218	175.331998968977	101.312454974013	-3.8650431609805	0.0551786844097931	6439999.59414134	25527372293.5691
1053	96.0803957634785	20.6191537129683	-9127.43365392599	175.383430048217	102.442815063752	-3.9064245560934	0.0969979606786714	6469989.35679745	24805668270.8632
1054	96.0835498981269	20.6038975135378	-9952.96273679218	175.440179558145	101.898412307092	-3.81536843467257	0.0852986377515662	6453395.45586104	25527372293.5691
1055	96.0765405323294	20.6649210345221	-9127.43365392599	175.495914461903	102.985697823547	-4.00792666426352	0.145258370302983	6482699.25362743	24805668270.8632
1056	96.0797382680538	20.6496649782633	-9952.96273679218	175.54750230373	102.475634659413	-3.75100314357615	0.128131339470935	6466713.18869846	25527372293.5691
1057	96.0727877581017	20.7106880132207	-9127.43365392599	175.611772313166	103.501270458209	-4.14226858187503	0.134667863265558	6494854.41452116	24805668270.8632
1058	96.0760238458974	20.6954321013782	-9952.96273679218	175.654872596576	103.035877048935	-3.92325428137484	0.152981258610954	6479667.97318111	25527372293.5691
1059	96.0691375619156	20.7564546547724	-9127.43365392599	175.73016717524	103.969890835555	-4.02215876448198	0.0592274027293897	6506371.31577658	24805668270.8632
1060	96.0724066549939	20.7411988881922	-9952.96273679218	175.765317479349	103.575155216284	-3.86268441919623	0.0949675096129156	6492066.35462366	25527372293.5691
1061	96.0655897222567	20.8022209647938	-9127.43365392599	175.85077073383	104.395459115694	-3.84843464963277	-0.0112401374759154	6517228.674027	24805668270.8632
1062	96.0688866729472	20.7869653439043	-9952.96273679218	175.877620270077	104.07716814868	-3.684129722094	0.0166488726908557	6503811.42375688	25527372293.5691
1063	96.0621440109218	20.847986948749	-9127.43365392599	175.976227031952	104.784427799251	-3.76848410658607	-0.0464882992396701	6527433.92625122	24805668270.8632
1064	96.0654639776083	20.8327314735834	-9952.96273679218	175.993692567601	104.540421099748	-3.57557613006365	-0.0348472133149768	6514875.61093728	25527372293.5691
1065	96.0588004209159	20.8937526119365	-9127.43365392599	176.099989117708	105.127136691432	-3.69210341557848	-0.052225130363494	6537010.17560121	24805668270.8632
1066	96.0621388897657	20.8784972821665	-9952.96273679218	176.109774572579	104.961436903041	-3.54190799430328	-0.0524593084766288	6525265.76889487	25527372293.5691
1067	96.0555592184292	20.939517959508	-9127.43365392599	176.225374864072	105.432506826529	-3.69432784451608	-0.00599031349198498	6546003.04804195	24805668270.8632
1068	96.0589120351922	20.9242627744758	-9952.96273679218	176.228303244785	105.339261298088	-3.51001609632599	-0.033053380859527	6535006.1601453	25527372293.5691
1069	96.0524209370606	20.9852829964918	-9127.43365392599	176.346392239363	105.720565956208	-3.80732094479324	0.08038328668641	6554484.79892693	24805668270.8632
1070	96.0557843505348	20.9700279552435	-9952.96273679218	176.346771172252	105.684692060658	-3.60137124435991	0.0401991510382984	6544142.59933045	25527372293.5691
1071	96.0493864663725	21.0310477278135	-9127.43365392599	176.47744582642	105.989549461342	-3.94057148159877	0.131334175917064	6562535.4394759	24805668270.8632
1072	96.0527571094907	21.0157928291339	-9952.96273679218	176.471452822926	106.006856389281	-3.71914367686822	0.111780339711842	6552747.33039689	25527372293.5691
1073	96.0464572755464	21.0768121583272	-9127.43365392599	176.611013120425	106.232655913199	-3.97001042663156	0.11322162518955	6570193.04093318	24805668270.8632
1074	96.0498319862986	21.061557400766	-9952.96273679218	176.599313151117	106.290004269344	-3.78799484869405	0.1232799359437	6560903.11547564	25527372293.5691
1075	96.0436355789467	21.1225762928629	-9127.43365392599	176.742071973087	106.474382092094	-3.70551720214744	0.0941141548974816	6577408.80138741	24805668270.8632
1076	96.0470111020031	21.107321674739	-9952.96273679218	176.726318864293	106.551054906056	-3.6699071731887	0.0999751862829662	6568656.36203666	25527372293.5691
1077	96.0409241370401	21.1683401362658	-9127.43365392599	176.874633111645	106.696555034108	-3.43625619226824	0.133656032856048	6584038.19069644	24805668270.8632
1078	96.0442968585386	21.1530856556521	-9952.96273679218	176.860095380892	106.784385218396	-3.36627535069728	0.116449054116366	6575970.59621541	25527372293.5691
1079	96.0383255937253	21.2141036933782	-9127.43365392599	177.017117227259	106.904677380998	-3.39018098135708	0.190067476986871	6589873.73151409	24805668270.8632
1080	96.0416914545977	21.198849348088	-9952.96273679218	176.993041490588	106.996227317657	-3.25777030406199	0.169472604770836	6582712.74123057	25527372293.5691
1081	96.0358415277131	21.259866968932	-9127.43365392599	177.154405966425	107.099822211319	-3.43942450441034	0.183803144661083	6594705.88885882	24805668270.8632
1082	96.0391961750542	21.244612756537	-9952.96273679218	177.132617536458	107.195539770161	-3.29001683537279	0.189626897066343	6588681.14285937	25527372293.5691
1083	96.0334715565213	21.3056299673666	-9127.43365392599	177.288439213948	107.267567546395	-3.48613089457698	0.140865802021838	6598387.41379071	24805668270.8632
1084	96.0368106842628	21.2903758852612	-9952.96273679218	177.264497355082	107.351247105993	-3.34135743202653	0.150824558466952	6593664.19183071	25527372293.5691
1085	96.0312128155884	21.3513926926253	-9127.43365392599	177.416647383331	107.409474683173	-3.42772880430028	0.123967222115182	6600878.60155152	24805668270.8632
1086	96.034532579622	21.3361387381325	-9952.96273679218	177.391956209531	107.477372465629	-3.34097018177156	0.122240932554828	6597505.78373821	25527372293.5691
1087	96.0290599673672	21.3971551479951	-9127.43365392599	177.540810209192	107.526779986404	-3.26272637657112	0.139008059011202	6602260.53654383	24805668270.8632
1088	96.0323573543792	21.3819013184939	-9952.96273679218	177.514627008091	107.576915969613	-3.2176811853125	0.127062214209412	6600154.09708306	25527372293.5691
1089	96.0270056790879	21.4429173360339	-9127.43365392599	177.649159682699	107.619387301931	-3.15303755680205	0.154703026712638	6602718.34120778	24805668270.8632
1090	96.0302787536336	21.4276636290809	-9952.96273679218	177.625562345316	107.653521781555	-3.07555127846431	0.145333457196887	6601678.86171078	25527372293.5691
1091	96.0250413532808	21.4886792585888	-9127.43365392599	177.74470638349	107.695759599621	-3.15346989108313	0.142623846551168	6602508.4896611	24805668270.8632
1092	96.0282893705965	21.4734256720171	-9952.96273679218	177.725577347255	107.714499105191	-3.04269125897929	0.145152097185541	6602257.29804743	25527372293.5691
1093	96.0231578881792	21.5344409168825	-9127.43365392599	177.825117104205	107.762827668194	-3.15053184026235	0.100696973641948	6601922.61740926	24805668270.8632
1094	96.0263812903793	21.5191874488685	-9952.96273679218	177.812836265568	107.766801648114	-3.05910958596907	0.116062253836273	6602142.04225528	25527372293.5691
1095	96.0213463717503	21.580202311644	-9127.43365392599	177.902562130472	107.817283227843	-3.14387413202496	0.0360229577104016	6601247.68629465	24805668270.8632
1096	96.024546659648	21.5649489607361	-9952.96273679218	177.893834765747	107.81296824458	-3.03652635247281	0.0657473794339278	6601624.22799247	25527372293.5691
